       截面序号           高度         截面宽         截面高       截面面积             IX             IZ
              1        10.0000        10.0000         8.0000        28.2743       289.8119       289.8119
              2         9.0000        11.0000         9.0000        31.4159       396.6260       396.6260
              3         8.0000        12.0000        10.0000        34.5575       527.0021       527.0021
              4         7.0000        13.0000        11.0000        37.6991       683.2963       683.2963
              5         6.0000        14.0000        12.0000        40.8407       867.8649       867.8649
              6         5.0000        15.0000        13.0000        43.9823      1083.0640      1083.0640
              7         4.0000        16.0000        14.0000        47.1239      1331.2498      1331.2498
              8         3.0000        17.0000        15.0000        50.2655      1614.7784      1614.7784
              9         2.0000        18.0000        16.0000        53.4071      1936.0062      1936.0062
             10         1.0000        19.0000        17.0000        56.5487      2297.2893      2297.2893
             11         0.0000        20.0000        18.0000        59.6903      2700.9839      2700.9839
